Key,German(de)
mfk_part1_assi_stretchrightfingers_short,Als nächstes die drei freien Finger ausstrecken.
mfk_part1_assi_tension2_short,Und jetzt den Faden am kleinen Finger ansetzen.
mfk_part1_assi_success_short,Sehr gut! Weiter gehts.
mfk_part2_assi_demo_short,Als nächstes führen wir den pinken Faden unter dem gelben hindurch.
mfk_part2_assi_demobend_short,So geht es.
mfk_part2_assi_imitate_short,Mache es mir nun nach:
mfk_part2_assi_position_short,"Bewege deine rechte Hand zwischen die beiden Fäden, sodass der pinke Faden mittig auf dem Mittelfinger ruht."
mfk_part2_assi_bend_short,Krümme den Mittelfinger und führe den pinken Faden unter dem gelben hindurch.
mfk_part2_assi_success_short,Wunderbar! Direkt weiter zum vorletzten Schritt.
mfk_part3_assi_demo_short,Jetzt wirst du den gelben Faden zwischen Ring- und Mittelfinger führen und dort festhalten.
mfk_part3_assi_demostretch_short,Hier wieder eine Demonstration.
mfk_part3_assi_stretch_short,Strecke den Mittelfinger und drücke so den gelben Faden herunter.
mfk_part3_assi_pinch_short,Klemme den gelben Faden zwischen Deinem Ring- und Mittelfinger ein.
mfk_part3_assi_success_short,Hervorragend! Gehen wir zum letzten Schritt über.
mfk_part4_assi_demo_short,Jetzt müssen wir den Knoten nur noch fertig stellen.
mfk_part4_assi_demoletgo_short,Hier siehst du erst einmal die Abfolge.
mfk_part4_assi_letgo_short,Erst Zeigefinger und Daumen los lassen.
mfk_part4_assi_pull_short,Faden durch die Schlaufe ziehen.
mfk_part4_assi_fasten_short,Greife den gelben Faden mit Zeigefinger und Daumen und ziehe den Knoten fest.
mfk_part4_assi_press_short,Drücke den Knoten fest.
mfk_outro_assi_verygood_short,Hervorragend! Das war sehr gut!
mfk_outro_assi_feedback_short,Schauen wir einmal den Feedbackbogen für den Mittelfingerknoten an.
mfk_outro_assi_indexfinger_short,Das war es für diese Übung. Fahren wir fort mit dem Zeigefingerknoten.
mfk_outro_assi_second,"Um den Knoten zu festigen, binden wir nun noch einen zweiten Mittelfingerknoten auf den bereits bestehenden. "
